,country,continent,gender,deaths
194,Armenia,Asia,Boy,1.4800000190734863
195,Australia,Oceania,Boy,0.4099999904632568
196,Austria,Europe,Boy,0.3900000095367432
197,Azerbaijan,Asia,Boy,2.6799999237060548
198,Bahamas,North America,Boy,1.4600000381469729
199,Bahrain,Asia,Boy,0.7699999809265137
200,Bangladesh,Asia,Boy,3.8099998474121097
201,Barbados,North America,Boy,1.4899999618530275
202,Belarus,Europe,Boy,0.4300000190734863
203,Belgium,Europe,Boy,0.45
204,Belize,North America,Boy,1.5800000190734864
205,Benin,Africa,Boy,10.15
206,Bhutan,Asia,Boy,3.4700000762939456
207,Bolivia,South America,Boy,3.259999847412109
208,Bosnia and Herzegovina,Europe,Boy,0.6800000190734864
209,Botswana,Africa,Boy,5.320000076293946
210,Brazil,South America,Boy,1.85
211,Brunei,Asia,Boy,1.1800000190734865
212,Bulgaria,Europe,Boy,0.8500000000000001
213,Burkina Faso,Africa,Boy,10.230000305175782
214,Burundi,Africa,Boy,6.930000305175781
215,Cambodia,Asia,Boy,3.370000076293945
216,Cameroon,Africa,Boy,9.03000030517578
217,Canada,North America,Boy,0.5699999809265137
218,Cape Verde,Africa,Boy,1.9799999237060548
219,Central African Republic,Africa,Boy,12.440000152587892
220,Chad,Africa,Boy,13.189999389648438
221,Chile,South America,Boy,0.8300000190734864
222,China,Asia,Boy,1.05
223,Colombia,South America,Boy,1.6600000381469728
224,Comoros,Africa,Boy,7.540000152587891
225,Costa Rica,North America,Boy,0.95
226,Croatia,Europe,Boy,0.5300000190734864
227,Cuba,North America,Boy,0.6099999904632569
228,Cyprus,Europe,Boy,0.3099999904632569
229,Denmark,Europe,Boy,0.4400000095367432
230,Djibouti,Africa,Boy,6.9
231,Dominica,North America,Boy,3.529999923706055
232,Dominican Republic,North America,Boy,3.790000152587891
233,Ecuador,South America,Boy,1.65
234,Egypt,Africa,Boy,2.379999923706055
235,El Salvador,North America,Boy,1.6399999618530274
236,Equatorial Guinea,Africa,Boy,9.630000305175782
237,Eritrea,Africa,Boy,5.00999984741211
238,Estonia,Europe,Boy,0.3099999904632569
239,Eswatini,Africa,Boy,6.020000076293946
240,Ethiopia,Africa,Boy,6.530000305175782
241,Fiji,Oceania,Boy,2.6799999237060548
242,Finland,Europe,Boy,0.2700000047683716
243,France,Europe,Boy,0.4599999904632568
244,Gabon,Africa,Boy,5.2
245,Gambia,Africa,Boy,6.25
246,Georgia,Asia,Boy,1.1300000190734865
247,Germany,Europe,Boy,0.4199999809265137
248,Ghana,Africa,Boy,5.720000076293946
249,Greece,Europe,Boy,0.4699999809265137
250,Grenada,North America,Boy,1.7700000762939454
251,Guatemala,North America,Boy,3.010000038146973
252,Guinea,Africa,Boy,11.080000305175782
253,Guinea-Bissau,Africa,Boy,9.540000152587892
254,Guyana,South America,Boy,3.6099998474121096
255,Haiti,North America,Boy,7.359999847412109
256,Honduras,North America,Boy,2.0600000381469727
257,Hungary,Europe,Boy,0.5099999904632568
258,Iceland,Europe,Boy,0.2400000095367431
259,India,Asia,Boy,3.979999923706055
260,Indonesia,Asia,Boy,2.939999961853028
261,Iran,Asia,Boy,1.5600000381469727
262,Iraq,Asia,Boy,3.1500000000000004
263,Ireland,Europe,Boy,0.3900000095367432
264,Israel,Asia,Boy,0.4099999904632568
265,Italy,Europe,Boy,0.3700000047683716
266,Jamaica,North America,Boy,1.6799999237060548
267,Japan,Asia,Boy,0.2799999952316284
268,Jordan,Asia,Boy,1.85
269,Kazakhstan,Asia,Boy,1.25
270,Kenya,Africa,Boy,5.1200000762939455
271,Kiribati,Oceania,Boy,6.070000076293946
272,Kuwait,Asia,Boy,0.9399999618530274
273,Kyrgyzstan,Asia,Boy,2.360000038146973
274,Laos,Asia,Boy,5.65
275,Latvia,Europe,Boy,0.5
276,Lebanon,Asia,Boy,0.8399999618530274
277,Lesotho,Africa,Boy,9.9
278,Liberia,Africa,Boy,9.21999969482422
279,Libya,Africa,Boy,1.4100000381469728
280,Lithuania,Europe,Boy,0.5199999809265137
281,Luxembourg,Europe,Boy,0.3099999904632569
282,Madagascar,Africa,Boy,6.2
283,Malawi,Africa,Boy,5.429999923706055
284,Malaysia,Asia,Boy,0.8800000190734864
285,Maldives,Asia,Boy,0.9899999618530274
286,Mali,Africa,Boy,11.00999984741211
287,Malta,Europe,Boy,0.7099999904632569
288,Marshall Islands,Oceania,Boy,3.8200000762939457
289,Mauritania,Africa,Boy,8.61999969482422
290,Mauritius,Africa,Boy,1.5899999618530274
291,Mexico,North America,Boy,1.7100000381469729
292,Moldova,Europe,Boy,1.7200000762939454
293,Monaco,Europe,Boy,0.3799999952316284
294,Mongolia,Asia,Boy,2.0600000381469727
295,Montenegro,Europe,Boy,0.3799999952316284
296,Morocco,Africa,Boy,2.45
297,Mozambique,Africa,Boy,8.5
298,Myanmar,Asia,Boy,5.479999923706055
299,Namibia,Africa,Boy,5.029999923706055
300,Nauru,Oceania,Boy,3.540000152587891
301,Nepal,Asia,Boy,3.6099998474121096
302,Netherlands,Europe,Boy,0.4400000095367432
303,New Zealand,Oceania,Boy,0.5800000190734863
304,Nicaragua,North America,Boy,2.0799999237060547
305,Niger,Africa,Boy,9.4
306,Nigeria,Africa,Boy,13.11999969482422
307,North Korea,Asia,Boy,2.2100000381469727
308,North Macedonia,Europe,Boy,1.1699999809265138
309,Norway,Europe,Boy,0.2900000095367431
310,Oman,Asia,Boy,1.2199999809265138
311,Pakistan,Asia,Boy,7.840000152587891
312,Palau,Oceania,Boy,2.120000076293945
313,Palestine,Asia,Boy,2.0200000762939454
314,Panama,North America,Boy,1.8100000381469727
315,Papua New Guinea,Oceania,Boy,5.329999923706055
316,Paraguay,South America,Boy,2.379999923706055
317,Peru,South America,Boy,1.6399999618530274
318,Philippines,Asia,Boy,3.2099998474121096
319,Poland,Europe,Boy,0.5099999904632568
320,Portugal,Europe,Boy,0.4
321,Qatar,Asia,Boy,0.7900000095367432
322,Romania,Europe,Boy,0.9300000190734864
323,Russia,Europe,Boy,0.8300000190734864
324,Rwanda,Africa,Boy,4.970000076293946
325,Saint Kitts and Nevis,North America,Boy,1.8200000762939452
326,Saint Lucia,North America,Boy,2.4299999237060548
327,Saint Vincent and the Grenadines,North America,Boy,1.7600000381469727
328,Samoa,Oceania,Boy,2.010000038146973
329,San Marino,Europe,Boy,0.2299999952316284
330,Sao Tome and Principe,Africa,Boy,2.35
331,Saudi Arabia,Asia,Boy,0.8800000190734864
332,Senegal,Africa,Boy,5.05999984741211
333,Serbia,Europe,Boy,0.6599999904632569
334,Seychelles,Africa,Boy,1.5899999618530274
335,Sierra Leone,Africa,Boy,13.260000610351565
336,Singapore,Asia,Boy,0.2900000095367431
337,Slovakia,Europe,Boy,0.6699999809265137
338,Slovenia,Europe,Boy,0.2700000047683716
339,Solomon Islands,Oceania,Boy,2.4000000000000004
340,Somalia,Africa,Boy,13.65
341,South Africa,Africa,Boy,3.790000152587891
342,South Korea,Asia,Boy,0.3700000047683716
343,South Sudan,Africa,Boy,10.26999969482422
344,Spain,Europe,Boy,0.3599999904632568
345,Sri Lanka,Asia,Boy,0.9100000381469728
346,Sudan,Africa,Boy,6.909999847412109
347,Suriname,South America,Boy,2.2100000381469727
348,Sweden,Europe,Boy,0.3099999904632569
349,Switzerland,Europe,Boy,0.45
350,Syria,Asia,Boy,4.14000015258789
351,Tajikistan,Asia,Boy,4.079999923706055
352,Tanzania,Africa,Boy,5.979999923706055
353,Thailand,Asia,Boy,1.1399999618530274
354,Togo,Africa,Boy,7.8699996948242195
355,Tonga,Oceania,Boy,1.3699999809265138
356,Trinidad and Tobago,North America,Boy,2.0600000381469727
357,Tunisia,Africa,Boy,1.85
358,Turkey,Asia,Boy,1.2800000190734864
359,Turkmenistan,Asia,Boy,4.829999923706055
360,Tuvalu,Oceania,Boy,2.7700000762939454
361,Uganda,Africa,Boy,5.75999984741211
362,Ukraine,Europe,Boy,1.0100000381469727
363,United Arab Emirates,Asia,Boy,0.8199999809265137
364,United Kingdom,Europe,Boy,0.4800000190734863
365,United States,North America,Boy,0.7300000190734863
366,Uruguay,South America,Boy,0.9300000190734864
367,Uzbekistan,Asia,Boy,2.039999961853028
368,Vanuatu,Oceania,Boy,2.9700000762939456
369,Venezuela,South America,Boy,2.620000076293945
370,Vietnam,Asia,Boy,2.5200000762939454
371,Yemen,Asia,Boy,6.440000152587891
372,Zambia,Africa,Boy,7.040000152587891
373,Zimbabwe,Africa,Boy,6.3599998474121096
